CODGEO;LIBGEO;Statut Commune;Code département;Code de la commune
22257;Quemperven;hors unité urbaine;22;257
22259;Quévert;unité urbaine;22;259
29094;Kernouës;unité urbaine;29;094
29131;Locmélar;hors unité urbaine;29;131
29134;Locronan;hors unité urbaine;29;134
29187;Plougar;hors unité urbaine;29;187
29217;Pont-Aven;unité urbaine;29;217
29229;Quéménéven;hors unité urbaine;29;229
29243;Saint-Coulitz;hors unité urbaine;29;243
29249;Saint-Goazec;hors unité urbaine;29;249
29251;Saint-Jean-du-Doigt;unité urbaine;29;251
22324;Saint-Quay-Perros;unité urbaine;22;324
22380;Trévron;hors unité urbaine;22;380
22021;Brusvily;hors unité urbaine;22;021
22033;Caurel;hors unité urbaine;22;033
22039;La Chèze;hors unité urbaine;22;039
22063;Gommenec'h;hors unité urbaine;22;063
22073;La Harmoye;hors unité urbaine;22;073
22189;Plésidy;hors unité urbaine;22;189
22251;Pordic;unité urbaine;22;251
29015;Bourg-Blanc;unité urbaine;29;015
29043;Daoulas;hors unité urbaine;29;043
29049;Elliant;hors unité urbaine;29;049
29071;Guilligomarc'h;hors unité urbaine;29;071
29081;Huelgoat;hors unité urbaine;29;081
29082;Île-de-Batz;hors unité urbaine;29;082
29083;Île-de-Sein;hors unité urbaine;29;083
